Date,VIXM,^VIX,SPY
2011-09-15,1625,0,326777200
2011-09-16,6175,0,284528300
2011-09-19,1675,0,241517000
2011-09-20,875,0,218932200
2011-09-21,5675,0,316251300
2011-09-22,7875,0,513911300
2011-09-23,6800,0,307242500
2011-09-26,3575,0,260673700
2011-09-27,3150,0,311753900
2011-09-28,8300,0,286696800
2011-09-29,18950,0,298108900
2011-09-30,1750,0,288392300
2011-10-03,4300,0,365136800
2011-10-04,6975,0,459177500
2011-10-05,6250,0,284108000
2011-10-06,5250,0,257800800
2011-10-07,4525,0,312657900
2011-10-10,2400,0,230666300
2011-10-11,375,0,209088000
2011-10-12,2825,0,281544900
2011-10-13,3275,0,212538800
2011-10-14,2000,0,211397600
2011-10-17,6550,0,202311600
2011-10-18,11250,0,318857900
2011-10-19,8525,0,226601300
2011-10-20,1800,0,262075600
2011-10-21,925,0,278999400
2011-10-24,2025,0,203215600
2011-10-25,450,0,268596800
2011-10-26,100,0,289053800
2011-10-27,2175,0,393220200
2011-10-28,1175,0,225906500
2011-10-31,2875,0,228146700
2011-11-01,1875,0,416565800
2011-11-02,475,0,244717600
2011-11-03,1075,0,291174800
2011-11-04,575,0,249401600
2011-11-07,500,0,196617200
2011-11-08,1375,0,224426300
2011-11-09,6525,0,337982000
2011-11-10,1250,0,231866500
2011-11-11,1900,0,189924400
2011-11-14,925,0,159258300
2011-11-15,1425,0,184709400
2011-11-16,2250,0,235782500
2011-11-17,16000,0,331219600
2011-11-18,1025,0,215580400
2011-11-21,7275,0,229611600
2011-11-22,6525,0,216494900
2011-11-23,2975,0,224329100
2011-11-25,975,0,99557000
2011-11-28,2000,0,210686000
2011-11-29,2025,0,199241500
2011-11-30,1800,0,324439500
2011-12-01,1075,0,176954800
2011-12-02,2475,0,221109700
2011-12-05,825,0,225263900
2011-12-06,1725,0,178842100
2011-12-07,775,0,237802500
2011-12-08,2025,0,240862800
2011-12-09,13475,0,209111400
2011-12-12,392375,0,215826100
2011-12-13,13025,0,245159800
2011-12-14,4150,0,238618800
2011-12-15,2425,0,199109200
2011-12-16,1975,0,220481400
2011-12-19,2150,0,183903000
2011-12-20,6850,0,225418100
2011-12-21,5125,0,194230900
2011-12-22,9600,0,119465400
2011-12-23,2675,0,92187200
2011-12-27,3800,0,86075700
2011-12-28,1350,0,119107100
2011-12-29,2500,0,123507200
2011-12-30,1525,0,95599000
2012-01-03,4125,0,193697900
2012-01-04,2050,0,127186500
2012-01-05,4050,0,173895000
2012-01-06,5350,0,148050000
2012-01-09,1425,0,99530200
2012-01-10,1950,0,115282000
2012-01-11,12900,0,111540700
2012-01-12,2625,0,118983700
2012-01-13,625,0,179836200
2012-01-17,975,0,132209200
2012-01-18,2325,0,163395200
2012-01-19,2000,0,126328900
2012-01-20,2950,0,138230200
2012-01-23,3875,0,129295800
2012-01-24,8025,0,103083300
2012-01-25,11425,0,198613200
2012-01-26,21175,0,184880500
2012-01-27,7025,0,135259100
2012-01-30,6425,0,147311800
2012-01-31,4050,0,157212000
2012-02-01,2825,0,166234500
2012-02-02,6725,0,113090400
2012-02-03,4825,0,160598500
2012-02-06,5950,0,107694500
2012-02-07,6450,0,135528100
2012-02-08,3800,0,139361400
2012-02-09,3475,0,148602900
2012-02-10,62100,0,167907500
2012-02-13,2975,0,115841900
2012-02-14,2750,0,165329500
2012-02-15,4175,0,195195100
2012-02-16,2625,0,186567800
2012-02-17,2375,0,129869400
2012-02-21,2125,0,134042300
2012-02-22,82425,0,124455300
2012-02-23,2050,0,137704300
2012-02-24,3675,0,105539100
2012-02-27,1475,0,145728900
2012-02-28,3100,0,129355900
2012-02-29,2775,0,185934700
2012-03-01,3750,0,145023500
2012-03-02,13425,0,120638300
2012-03-05,3550,0,140765000
2012-03-06,2625,0,202129900
2012-03-07,1675,0,143692200
2012-03-08,1950,0,116968900
2012-03-09,3475,0,122836800
2012-03-12,3700,0,104003500
2012-03-13,2850,0,184090500
2012-03-14,4400,0,145163600
2012-03-15,6050,0,165118500
2012-03-16,3150,0,152893500
2012-03-19,4775,0,125291100
2012-03-20,2500,0,121729700
2012-03-21,6500,0,122388400
2012-03-22,4725,0,135216700
2012-03-23,3650,0,120521000
2012-03-26,4850,0,120164000
2012-03-27,10825,0,119868500
2012-03-28,14275,0,148562100
2012-03-29,3175,0,164963700
2012-03-30,12275,0,135486800
2012-04-02,3000,0,151741100
2012-04-03,4150,0,155806700
2012-04-04,21000,0,146896000
2012-04-05,3150,0,137439400
2012-04-09,3475,0,127555900
2012-04-10,10375,0,235360300
2012-04-11,3425,0,154133000
2012-04-12,2375,0,154321500
2012-04-13,2200,0,169246700
2012-04-16,3550,0,147825300
2012-04-17,2850,0,147877600
2012-04-18,4675,0,123884200
2012-04-19,2650,0,198666700
2012-04-20,4175,0,143199600
2012-04-23,2850,0,171844900
2012-04-24,8775,0,137484200
2012-04-25,8475,0,150252200
2012-04-26,6950,0,136291600
2012-04-27,3400,0,130725000
2012-04-30,1225,0,115092200
2012-05-01,2300,0,138832200
2012-05-02,3250,0,121081000
2012-05-03,16250,0,143759700
2012-05-04,15375,0,193927300
2012-05-07,4000,0,127765900
2012-05-08,11425,0,213377700
2012-05-09,1775,0,220752500
2012-05-10,5175,0,150600000
2012-05-11,4000,0,153032400
2012-05-14,2100,0,163910000
2012-05-15,6250,0,207629300
2012-05-16,4650,0,207265500
2012-05-17,65150,0,247992900
2012-05-18,6525,0,319615900
2012-05-21,7025,0,177861100
2012-05-22,3050,0,197531200
2012-05-23,1875,0,204958400
2012-05-24,1150,0,167357600
2012-05-25,3600,0,135465600
2012-05-29,1600,0,152883500
2012-05-30,3725,0,162370400
2012-05-31,4150,0,196186000
2012-06-01,67950,0,253240900
2012-06-04,6275,0,202545800
2012-06-05,18100,0,164149400
2012-06-06,1650,0,184202800
2012-06-07,2000,0,184772700
2012-06-08,1050,0,143915400
2012-06-11,3225,0,169756100
2012-06-12,1200,0,181931800
2012-06-13,8700,0,172223900
2012-06-14,2050,0,230615500
2012-06-15,2450,0,169444500
2012-06-18,2275,0,131360900
2012-06-19,2900,0,137382600
2012-06-20,2900,0,206451800
2012-06-21,6950,0,205272200
2012-06-22,5500,0,130029200
2012-06-25,3125,0,146375700
2012-06-26,2700,0,141634000
2012-06-27,2675,0,108088000
2012-06-28,4700,0,169242100
2012-06-29,2625,0,212250900
2012-07-02,3200,0,129524500
2012-07-03,1850,0,80450000
2012-07-05,8400,0,126177500
2012-07-06,3050,0,151192100
2012-07-09,5175,0,103780500
2012-07-10,2175,0,167884800
2012-07-11,1550,0,141733400
2012-07-12,1925,0,143583200
2012-07-13,2500,0,129642600
2012-07-16,1225,0,97525200
2012-07-17,2550,0,138860300
2012-07-18,1600,0,113349700
2012-07-19,2075,0,129847300
2012-07-20,5450,0,142904500
2012-07-23,3950,0,145210900
2012-07-24,3875,0,173301200
2012-07-25,1775,0,129122300
2012-07-26,2475,0,156526500
2012-07-27,104475,0,236768900
2012-07-30,3850,0,106782000
2012-07-31,2250,0,120575900
2012-08-01,3550,0,138293800
2012-08-02,2525,0,199556600
2012-08-03,14925,0,157825000
2012-08-06,3750,0,86326200
2012-08-07,2475,0,109545100
2012-08-08,3550,0,89754700
2012-08-09,2300,0,90291700
2012-08-10,5625,0,99792700
2012-08-13,11450,0,79426900
2012-08-14,20175,0,102379400
2012-08-15,7150,0,71085900
2012-08-16,8050,0,112014200
2012-08-17,10500,0,90813700
2012-08-20,12125,0,78255700
2012-08-21,13425,0,105581100
2012-08-22,7325,0,133243500
2012-08-23,78175,0,111466400
2012-08-24,13425,0,99481200
2012-08-27,9925,0,68785900
2012-08-28,3500,0,75689600
2012-08-29,3325,0,65421300
2012-08-30,5550,0,96589900
2012-08-31,4750,0,151970400
2012-09-04,38450,0,120226200
2012-09-05,4900,0,100660300
2012-09-06,47450,0,158272500
2012-09-07,38050,0,107272100
2012-09-10,7900,0,86458500
2012-09-11,16125,0,88760000
2012-09-12,8350,0,87640900
2012-09-13,14825,0,225470200
2012-09-14,18500,0,169777000
2012-09-17,7975,0,119427800
2012-09-18,10850,0,98326600
2012-09-19,11950,0,128318300
2012-09-20,5575,0,154009800
2012-09-21,5775,0,108737500
2012-09-24,7250,0,95682000
2012-09-25,8125,0,133165200
2012-09-26,13325,0,146502200
2012-09-27,81050,0,111830300
2012-09-28,15275,0,150696100
2012-10-01,42750,0,135911200
2012-10-02,17550,0,113422200
2012-10-03,25725,0,121283100
2012-10-04,37975,0,124311600
2012-10-05,11750,0,124842100
2012-10-08,5250,0,78415400
2012-10-09,5175,0,148872900
2012-10-10,7125,0,124247500
2012-10-11,6000,0,123601500
2012-10-12,10375,0,124181900
2012-10-15,7150,0,107689100
2012-10-16,9175,0,108815500
2012-10-17,9975,0,128834100
2012-10-18,2775,0,148108500
2012-10-19,25050,0,185645200
2012-10-22,13425,0,125578600
2012-10-23,13325,0,192056300
2012-10-24,10375,0,120179400
2012-10-25,18575,0,134457400
2012-10-26,19450,0,146023500
2012-10-31,32225,0,103438500
2012-11-01,30300,0,100995600
2012-11-02,16625,0,137702200
2012-11-05,39725,0,98378500
2012-11-06,8300,0,107068100
2012-11-07,13775,0,264304500
2012-11-08,13050,0,181517300
2012-11-09,14300,0,201055300
2012-11-12,14525,0,97677500
2012-11-13,13425,0,123018300
2012-11-14,9350,0,191505000
2012-11-15,10100,0,178128400
2012-11-16,7975,0,239483900
2012-11-19,13425,0,151495800
2012-11-20,8225,0,119807400
2012-11-21,72400,0,81710800
2012-11-23,5575,0,65409200
2012-11-26,9050,0,100124400
2012-11-27,6550,0,128646200
2012-11-28,8900,0,177086500
2012-11-29,5000,0,151085900
2012-11-30,8925,0,136568300
2012-12-03,8550,0,124656300
2012-12-04,12100,0,127512200
2012-12-05,12775,0,147300500
2012-12-06,8525,0,103220600
2012-12-07,3200,0,108726400
2012-12-10,5725,0,98840700
2012-12-11,6900,0,152570400
2012-12-12,11000,0,145880100
2012-12-13,6625,0,135715000
2012-12-14,10450,0,137701700
2012-12-17,7425,0,143238200
2012-12-18,12975,0,177762800
2012-12-19,16275,0,150895400
2012-12-20,12100,0,168487000
2012-12-21,17475,0,245883800
2012-12-24,12925,0,53874600
2012-12-26,8800,0,106947700
2012-12-27,424375,0,167920600
2012-12-28,9700,0,148806700
2012-12-31,25300,0,243935200
2013-01-02,8175,0,192059000
2013-01-03,10500,0,144761800
2013-01-04,32525,0,116817700
2013-01-07,27525,0,110002500
2013-01-08,11300,0,121265100
2013-01-09,18400,0,90745600
2013-01-10,17950,0,130735400
2013-01-11,29750,0,113917300
2013-01-14,7775,0,89567200
2013-01-15,18575,0,93172600
2013-01-16,26100,0,104849500
2013-01-17,11575,0,133833500
2013-01-18,8025,0,169906000
2013-01-22,14625,0,111797300
2013-01-23,19100,0,104596100
2013-01-24,17275,0,146426400
2013-01-25,16750,0,147211600
2013-01-28,6775,0,113357700
2013-01-29,25550,0,105694400
2013-01-30,46450,0,137447700
2013-01-31,10250,0,108975800
2013-02-01,38825,0,131173000
2013-02-04,12025,0,159073600
2013-02-05,33450,0,113912400
2013-02-06,13875,0,138762800
2013-02-07,10000,0,162490000
2013-02-08,11300,0,103133700
2013-02-11,14850,0,73775000
2013-02-12,13800,0,65392700
2013-02-13,6800,0,82322600
2013-02-14,10975,0,80834300
2013-02-15,5900,0,215226500
2013-02-19,11575,0,95105400
2013-02-20,34400,0,160574800
2013-02-21,70525,0,183257000
2013-02-22,11950,0,106356600
2013-02-25,46350,0,245824800
2013-02-26,25200,0,186596200
2013-02-27,10600,0,150781900
2013-02-28,9125,0,126866000
2013-03-01,10750,0,170634800
2013-03-04,5700,0,99010200
2013-03-05,40325,0,121431900
2013-03-06,7900,0,94469900
2013-03-07,3275,0,86101400
2013-03-08,9825,0,123477800
2013-03-11,5725,0,83746800
2013-03-12,32625,0,105755800
2013-03-13,5950,0,92550900
2013-03-14,9750,0,126329900
2013-03-15,14325,0,138601100
2013-03-18,19475,0,126704300
2013-03-19,21625,0,167567300
2013-03-20,16825,0,113759300
2013-03-21,9750,0,128605000
2013-03-22,7325,0,111163600
2013-03-25,48825,0,151322300
2013-03-26,17375,0,86856600
2013-03-27,12625,0,99950600
2013-03-28,13175,0,102932800
2013-04-01,10225,0,99194100
2013-04-02,11475,0,101504300
2013-04-03,26450,0,154167400
2013-04-04,34950,0,131885000
2013-04-05,17200,0,159666000
2013-04-08,9475,0,86571200
2013-04-09,9025,0,101922200
