Date,spy
2012-01-04,100.910888671875
2012-01-05,101.17960357666016
2012-01-06,100.91879272460938
2012-01-09,101.16374969482422
2012-01-10,102.04090118408203
2012-01-11,102.09622955322266
2012-01-12,102.34115600585938
2012-01-13,101.81172943115234
2012-01-17,102.20684814453125
2012-01-18,103.33688354492188
2012-01-19,103.88211822509766
2012-01-20,104.2693099975586
2012-01-23,104.00064849853516
2012-01-24,103.88211822509766
2012-01-25,104.7513427734375
2012-01-26,104.2140121459961
2012-01-27,104.16658782958984
2012-01-30,103.81097412109375
2012-01-31,103.77151489257812
2012-02-01,104.68024444580078
2012-02-02,104.8461685180664
2012-02-03,106.31597900390625
2012-02-06,106.244873046875
2012-02-07,106.51353454589844
2012-02-08,106.82963562011719
2012-02-09,106.9639892578125
2012-02-10,106.17374420166016
2012-02-13,106.9639892578125
2012-02-14,106.82963562011719
2012-02-15,106.33177185058594
2012-02-16,107.50921630859375
2012-02-17,107.79370880126953
2012-02-21,107.84112548828125
2012-02-22,107.4934310913086
2012-02-23,107.96756744384766
2012-02-24,108.20458221435547
2012-02-27,108.3863296508789
2012-02-28,108.70247650146484
2012-02-29,108.27574920654297
2012-03-01,108.83676147460938
2012-03-02,108.50491333007812
2012-03-05,108.06238555908203
2012-03-06,106.48193359375
2012-03-07,107.22473907470703
2012-03-08,108.29151916503906
2012-03-09,108.71035766601562
2012-03-12,108.71823120117188
2012-03-13,110.67798614501953
2012-03-14,110.55944061279297
2012-03-15,111.19953918457031
2012-03-16,111.35353088378906
2012-03-19,111.79004669189453
2012-03-20,111.46463012695312
2012-03-21,111.28208923339844
2012-03-22,110.48040771484375
2012-03-23,110.837646484375
2012-03-26,112.3932113647461
2012-03-27,112.04401397705078
2012-03-28,111.48846435546875
2012-03-29,111.29793548583984
2012-03-30,111.7583236694336
2012-04-02,112.57575225830078
2012-04-03,112.11542510986328
2012-04-04,111.0042953491211
2012-04-05,110.94876098632812
2012-04-09,109.70268249511719
2012-04-10,107.861328125
2012-04-11,108.734375
2012-04-12,110.15506744384766
2012-04-13,108.84550476074219
2012-04-16,108.77405548095703
2012-04-17,110.38521575927734
2012-04-18,110.01219940185547
2012-04-19,109.30580139160156
2012-04-20,109.48836517333984
2012-04-23,108.56768798828125
2012-04-24,108.98042297363281
2012-04-25,110.47252655029297
2012-04-26,111.24243927001953
2012-04-27,111.4249496459961
2012-04-30,111.01226806640625
2012-05-01,111.70274353027344
2012-05-02,111.36937713623047
2012-05-03,110.52014923095703
2012-05-04,108.734375
2012-05-07,108.81373596191406
2012-05-08,108.37718200683594
2012-05-09,107.73432922363281
2012-05-10,107.95657348632812
2012-05-11,107.63113403320312
2012-05-14,106.44064331054688
2012-05-15,105.82946014404297
2012-05-16,105.42471313476562
2012-05-17,103.86116790771484
2012-05-18,102.97224426269531
2012-05-21,104.74214172363281
2012-05-22,104.92469024658203
2012-05-23,104.98027038574219
2012-05-24,105.18659973144531
2012-05-25,104.84534454345703
2012-05-29,106.11520385742188
2012-05-30,104.57548522949219
2012-05-31,104.3453369140625
2012-06-01,101.71821594238281
2012-06-04,101.67059326171875
2012-06-05,102.44049072265625
2012-06-06,104.74214172363281
2012-06-07,104.80565643310547
2012-06-08,105.63899993896484
2012-06-11,104.29769897460938
2012-06-12,105.49614715576172
2012-06-13,104.82152557373047
2012-06-14,105.93267059326172
2012-06-15,107.01608276367188
2012-06-18,107.2234878540039
2012-06-19,108.2606430053711
2012-06-20,108.08509826660156
2012-06-21,105.65984344482422
2012-06-22,106.47360229492188
2012-06-25,104.7663345336914
2012-06-26,105.2928695678711
2012-06-27,106.24217987060547
2012-06-28,105.9390640258789
2012-06-29,108.57971954345703
2012-07-02,108.90682220458984
2012-07-03,109.62487030029297
2012-07-05,109.13023376464844
2012-07-06,108.09310913085938
2012-07-09,107.95745849609375
2012-07-10,107.01608276367188
2012-07-11,107.03202819824219
2012-07-12,106.51343536376953
2012-07-13,108.3005142211914
2012-07-16,108.04521942138672
2012-07-17,108.78718566894531
2012-07-18,109.59291076660156
2012-07-19,109.880126953125
2012-07-20,108.87496185302734
2012-07-23,107.77397155761719
2012-07-24,106.84851837158203
2012-07-25,106.87249755859375
2012-07-26,108.63556671142578
2012-07-27,110.63803100585938
2012-07-30,110.63803100585938
2012-07-31,109.86421203613281
2012-08-01,109.76847076416016
2012-08-02,109.01055908203125
2012-08-03,111.17257690429688
2012-08-06,111.38796997070312
2012-08-07,111.94644165039062
2012-08-08,112.08206176757812
2012-08-09,112.17781829833984
2012-08-10,112.36126708984375
2012-08-13,112.30548095703125
2012-08-14,112.32146453857422
2012-08-15,112.44904327392578
2012-08-16,113.27874755859375
2012-08-17,113.43032836914062
2012-08-20,113.4383544921875
2012-08-21,113.09526824951172
2012-08-22,113.14313507080078
2012-08-23,112.21768951416016
2012-08-24,112.89585876464844
2012-08-27,112.91973876953125
2012-08-28,112.80806732177734
2012-08-29,112.89585876464844
2012-08-30,112.08206176757812
2012-08-31,112.61659240722656
2012-09-04,112.51286315917969
2012-09-05,112.41717529296875
2012-09-06,114.69883728027344
2012-09-07,115.1456069946289
2012-09-10,114.49139404296875
2012-09-11,114.81050872802734
2012-09-12,115.19348907470703
2012-09-13,116.94861602783203
2012-09-14,117.46719360351562
2012-09-17,117.06827545166016
2012-09-18,116.97256469726562
2012-09-19,117.03630828857422
2012-09-20,117.0443344116211
2012-09-21,116.99543762207031
2012-09-24,116.8189468383789
2012-09-25,115.57579803466797
2012-09-26,114.92610168457031
2012-09-27,116.00892639160156
2012-09-28,115.47154235839844
