Date,VIXM,^VIX,SPY,VIXY,GBPUSD=X,BRLUSD=X,DX-Y.NYB,USDJPY=X,^TNX,ZF=F,NQ=F,NKD=F,LQD,AAPL,AMZN,MU,MSFT,BMY,PLD,FXI,FEZ,^FTSE,^FCHI,^GSPC,GLD,SLV,ES=F,QM=F,BIO=F,AGG
2023-08-02,20.229999542236328,16.09000015258789,441.0787353515625,100.5199966430664,1.2795741558074951,0.2086811363697052,102.58999633789062,142.97000122070312,4.078000068664551,106.578125,15473.0,32380.0,99.3880386352539,191.13087463378906,128.2100067138672,67.67636108398438,323.725341796875,57.552154541015625,118.18672943115234,27.547033309936523,43.80605697631836,7561.60009765625,7312.83984375,4513.39013671875,179.60000610351562,21.75,4537.25,79.48999786376953,4088.0,91.7287368774414
2023-08-03,20.1299991607666,15.920000076293945,439.8146667480469,99.95999908447266,1.2720379829406738,0.20788292586803436,102.54000091552734,143.343994140625,4.189000129699707,106.3671875,15438.75,31960.0,98.49527740478516,189.73150634765625,128.91000366210938,68.67904663085938,322.8949890136719,57.0675048828125,118.31095123291016,28.29387664794922,43.62228012084961,7529.2001953125,7260.52978515625,4501.89013671875,179.5399932861328,21.6299991607666,4521.75,81.55000305175781,4073.5,91.11112976074219
2023-08-04,20.420000076293945,17.100000381469727,437.8254699707031,103.44000244140625,1.2716336250305176,0.2034008651971817,102.0199966430664,142.59800720214844,4.059999942779541,106.8984375,15354.0,32005.0,99.51959991455078,180.62060546875,139.57000732421875,69.40376281738281,324.0020446777344,56.377811431884766,116.81068420410156,27.891727447509766,43.786705017089844,7564.39990234375,7315.06982421875,4478.02978515625,180.19000244140625,21.65999984741211,4498.0,82.81999969482422,4089.5,91.86177062988281
2023-08-07,19.889999389648438,15.770000457763672,441.64703369140625,98.0,1.2747948169708252,0.204691544175148,102.05000305175781,141.87600708007812,4.078000068664551,106.96875,15485.5,32425.0,99.2752685546875,177.5042266845703,142.22000122070312,68.87759399414062,326.30523681640625,56.35917282104492,118.9034194946289,27.786407470703125,44.28000259399414,7554.5,7319.759765625,4518.43994140625,179.77999877929688,21.209999084472656,4537.75,81.94000244140625,4066.5,91.88077545166016
2023-08-08,20.239999771118164,15.989999771118164,439.7264709472656,100.16000366210938,1.2782002687454224,0.20412328839302063,102.52999877929688,142.5240020751953,4.026000022888184,107.109375,15354.25,32335.0,99.66997528076172,178.44708251953125,139.94000244140625,67.16012573242188,322.2920227050781,56.070247650146484,117.93827819824219,27.269357681274414,43.74802017211914,7527.39990234375,7269.47021484375,4499.3798828125,178.63999938964844,20.899999618530273,4518.5,82.91999816894531,4066.5,92.09931945800781
2023-08-09,20.209999084472656,15.960000038146973,436.78680419921875,99.12000274658203,1.2741613388061523,0.20413994789123535,102.48999786376953,143.2779998779297,4.01200008392334,107.0234375,15178.25,32145.0,99.76393127441406,176.8491973876953,137.85000610351562,66.21699523925781,318.51605224609375,56.49897003173828,117.1546859741211,27.384258270263672,43.90277862548828,7587.2998046875,7322.0400390625,4467.7099609375,177.7899932861328,20.799999237060547,4485.75,84.4000015258789,4107.0,92.16584014892578
2023-08-10,20.229999542236328,15.850000381469727,436.94354248046875,99.4800033569336,1.2720056772232056,0.20401085913181305,102.5199966430664,143.7270050048828,4.079999923706055,106.7265625,15201.25,32545.0,99.05912780761719,176.6308135986328,138.55999755859375,64.96611785888672,319.2079772949219,57.1234245300293,116.73424530029297,27.604482650756836,44.328369140625,7618.60009765625,7433.6201171875,4468.830078125,177.60000610351562,20.829999923706055,4485.75,82.81999969482422,4107.0,91.56722259521484
2023-08-11,19.899999618530273,14.84000015258789,436.6888122558594,95.55999755859375,1.2670094966888428,0.2044362723827362,102.83999633789062,144.85400390625,4.168000221252441,106.2890625,15095.75,32470.0,98.7208251953125,176.69046020507812,138.41000366210938,63.90388488769531,317.31011962890625,57.0675048828125,118.02427673339844,26.733163833618164,43.84474182128906,7524.2001953125,7340.18994140625,4464.0498046875,177.60000610351562,20.799999237060547,4480.75,83.19000244140625,4131.0,91.28217315673828
2023-08-14,19.760000228881836,14.819999694824219,439.0993347167969,93.91999816894531,1.2695027589797974,0.20362453162670135,103.19000244140625,144.81700134277344,4.184000015258789,106.0703125,15270.25,32315.0,98.6832275390625,178.35012817382812,140.57000732421875,67.78556060791016,320.3052062988281,57.430992126464844,117.99561309814453,26.484216690063477,43.77703094482422,7507.2001953125,7348.83984375,4489.72021484375,177.05999755859375,20.719999313354492,4506.0,82.51000213623047,4131.0,91.21566009521484
2023-08-15,20.350000381469727,16.459999084472656,433.9843444824219,99.31999969482422,1.2685203552246094,0.20152758061885834,103.20999908447266,145.43699645996094,4.2210001945495605,105.9765625,15106.5,31950.0,98.16636657714844,176.35256958007812,137.6699981689453,64.85691833496094,318.15032958984375,57.552154541015625,117.2406997680664,26.0533447265625,43.15801239013672,7389.60009765625,7267.7001953125,4437.85986328125,176.58999633789062,20.670000076293945,4454.0,80.98999786376953,4110.0,90.9686050415039
