Date,spy
2013-02-04,121.19615173339844
2013-02-05,122.4199447631836
2013-02-06,122.50910949707031
2013-02-07,122.3470230102539
2013-02-08,123.02778625488281
2013-02-11,123.0035171508789
2013-02-12,123.20611572265625
2013-02-13,123.31140899658203
2013-02-14,123.42491149902344
2013-02-15,123.27909088134766
2013-02-19,124.20295715332031
2013-02-20,122.65502166748047
2013-02-21,121.90933227539062
2013-02-22,123.10070037841797
2013-02-25,120.7585220336914
2013-02-26,121.58517456054688
2013-02-27,123.116943359375
2013-02-28,122.87380981445312
2013-03-01,123.27909088134766
2013-03-04,123.93545532226562
2013-03-05,125.04581451416016
2013-03-06,125.21603393554688
2013-03-07,125.44295501708984
2013-03-08,125.97784423828125
2013-03-11,126.45599365234375
2013-03-12,126.1723403930664
2013-03-13,126.35064697265625
2013-03-14,127.02337646484375
2013-03-15,126.85562896728516
2013-03-18,126.15556335449219
2013-03-19,125.86251068115234
2013-03-20,126.74169921875
2013-03-21,125.65900421142578
2013-03-22,126.66841888427734
2013-03-25,126.13926696777344
2013-03-26,127.14876556396484
2013-03-27,127.14876556396484
2013-03-28,127.53948211669922
2013-04-01,127.03475952148438
2013-04-02,127.66158294677734
2013-04-03,126.36721801757812
2013-04-04,126.88011169433594
2013-04-05,126.31025695800781
2013-04-08,127.16502380371094
2013-04-09,127.60458374023438
2013-04-10,129.16763305664062
2013-04-11,129.59092712402344
2013-04-12,129.27342224121094
2013-04-15,126.2777099609375
2013-04-16,128.141845703125
2013-04-17,126.2695541381836
2013-04-18,125.47992706298828
2013-04-19,126.57072448730469
2013-04-22,127.13246154785156
2013-04-23,128.4430389404297
2013-04-24,128.5244903564453
2013-04-25,129.0454864501953
2013-04-26,128.8175811767578
2013-04-29,129.68043518066406
2013-04-30,129.9898223876953
2013-05-01,128.85012817382812
2013-05-02,130.04678344726562
2013-05-03,131.36557006835938
2013-05-06,131.69935607910156
2013-05-07,132.3668670654297
2013-05-08,132.96925354003906
2013-05-09,132.59475708007812
2013-05-10,133.02626037597656
2013-05-13,133.13209533691406
2013-05-14,134.5078125
2013-05-15,135.2323760986328
2013-05-16,134.59739685058594
2013-05-17,135.89988708496094
2013-05-20,135.8917694091797
2013-05-21,136.08712768554688
2013-05-22,135.07766723632812
2013-05-23,134.68692016601562
2013-05-24,134.57301330566406
2013-05-28,135.3789520263672
2013-05-29,134.49972534179688
2013-05-30,134.9962615966797
2013-05-31,133.058837890625
2013-06-03,133.7914581298828
2013-06-04,133.1483612060547
2013-06-05,131.28414916992188
2013-06-06,132.47265625
2013-06-07,134.15785217285156
2013-06-10,134.15785217285156
2013-06-11,132.77389526367188
2013-06-12,131.67491149902344
2013-06-13,133.6775665283203
2013-06-14,132.8390350341797
2013-06-17,133.86474609375
2013-06-18,134.9230499267578
2013-06-19,133.058837890625
2013-06-20,129.76190185546875
2013-06-21,130.178466796875
2013-06-24,128.53346252441406
2013-06-25,129.76925659179688
2013-06-26,131.05410766601562
2013-06-27,131.82334899902344
2013-06-28,131.28323364257812
2013-07-01,132.052490234375
2013-07-02,131.92971801757812
2013-07-03,131.98699951171875
2013-07-05,133.4109649658203
2013-07-08,134.1720428466797
2013-07-09,135.1377410888672
2013-07-10,135.18685913085938
2013-07-11,137.0281982421875
2013-07-12,137.08546447753906
2013-07-15,137.60922241210938
2013-07-16,137.0936737060547
2013-07-17,137.4456329345703
2013-07-18,138.19854736328125
2013-07-19,138.44393920898438
2013-07-22,138.7140350341797
2013-07-23,138.41944885253906
2013-07-24,137.91204833984375
2013-07-25,138.24754333496094
2013-07-26,138.39486694335938
2013-07-29,137.9693145751953
2013-07-30,137.9693145751953
2013-07-31,138.06752014160156
2013-08-01,139.66336059570312
2013-08-02,139.90066528320312
2013-08-05,139.69610595703125
2013-08-06,138.90225219726562
2013-08-07,138.45211791992188
2013-08-08,138.95953369140625
2013-08-09,138.55850219726562
2013-08-12,138.39486694335938
2013-08-13,138.80404663085938
2013-08-14,138.09207153320312
2013-08-15,136.16070556640625
2013-08-16,135.7106170654297
2013-08-19,134.84307861328125
2013-08-20,135.50596618652344
2013-08-21,134.67127990722656
2013-08-22,135.89886474609375
2013-08-23,136.35714721679688
2013-08-26,135.84974670410156
2013-08-27,133.66470336914062
2013-08-28,134.13934326171875
2013-08-29,134.35211181640625
2013-08-30,133.92654418945312
2013-09-03,134.53216552734375
2013-09-04,135.64515686035156
2013-09-05,135.8169403076172
2013-09-06,135.88250732421875
2013-09-09,137.1836700439453
2013-09-10,138.19854736328125
2013-09-11,138.63218688964844
2013-09-12,138.26393127441406
2013-09-13,138.57493591308594
2013-09-16,139.37693786621094
2013-09-17,139.9988250732422
2013-09-18,141.61927795410156
2013-09-19,141.3819122314453
2013-09-20,140.39344787597656
2013-09-23,139.74378967285156
2013-09-24,139.41485595703125
2013-09-25,139.0118408203125
2013-09-26,139.54641723632812
2013-09-27,138.9049530029297
2013-09-30,138.1648406982422
2013-10-01,139.25860595703125
2013-10-02,139.1269989013672
2013-10-03,137.8441162109375
2013-10-04,138.8885040283203
2013-10-07,137.68789672851562
2013-10-08,136.0843048095703
2013-10-09,136.18296813964844
2013-10-10,139.1187744140625
2013-10-11,140.0151824951172
2013-10-14,140.57437133789062
2013-10-15,139.5546417236328
2013-10-16,141.503662109375
2013-10-17,142.4493865966797
2013-10-18,143.4114990234375
2013-10-21,143.41976928710938
2013-10-22,144.25035095214844
2013-10-23,143.5595245361328
2013-10-24,144.03652954101562
2013-10-25,144.69442749023438
2013-10-28,144.9246826171875
2013-10-29,145.6977081298828
