Date,VIXM,^VIX,SPY,GBPUSD=X,BRLUSD=X,DX-Y.NYB,USDJPY=X,^TNX,ZF=F,NQ=F,NKD=F,LQD,AAPL,AMZN,MU,MSFT,BMY,PLD,FXI,FEZ,^FTSE,^FCHI,^GSPC,GLD,SLV,ES=F,QM=F,BIO=F,AGG
2016-08-08,46.619998931884766,11.5,189.5535430908203,1.3085750341415405,0.3163855969905853,96.4000015258789,102.1449966430664,1.5829999446868896,121.5,4779.25,16655.0,93.42682647705078,24.98997688293457,38.327999114990234,14.149913787841797,52.04541778564453,46.52083206176758,42.932376861572266,29.768049240112305,25.64706802368164,6809.10009765625,4415.4599609375,2180.889892578125,127.44000244140625,18.739999771118164,2175.5,43.025001525878906,3078.199951171875,90.84425354003906
2016-08-09,46.06999969482422,11.65999984741211,189.66653442382812,1.3032373189926147,0.3155967891216278,96.18000030517578,102.28800201416016,1.5449999570846558,121.640625,4791.75,16695.0,93.97576904296875,25.091440200805664,38.41550064086914,14.20878791809082,52.170921325683594,47.53147888183594,43.323753356933594,30.0481014251709,26.013452529907227,6851.2998046875,4468.06982421875,2181.739990234375,127.95999908447266,18.8700008392334,2177.5,42.775001525878906,3082.39990234375,91.07898712158203
2016-08-10,46.41999816894531,12.050000190734863,189.19708251953125,1.3007115125656128,0.3181774914264679,95.6500015258789,101.91500091552734,1.5089999437332153,121.84375,4781.5,16705.0,94.24259948730469,24.904659271240234,38.428001403808594,13.93403148651123,52.00956344604492,46.73685836791992,43.45154571533203,29.87512969970703,26.140888214111328,6866.39990234375,4452.009765625,2175.489990234375,128.55999755859375,19.15999984741211,2172.75,41.70000076293945,3021.300048828125,91.1842041015625
2016-08-11,46.59000015258789,11.680000305175781,190.0751495361328,1.3020155429840088,0.32003071904182434,95.86000061035156,101.13300323486328,1.5729999542236328,121.4296875,4800.0,16880.0,93.93004608154297,24.88851547241211,38.5620002746582,14.1597261428833,52.260555267333984,47.03772735595703,43.1560173034668,30.509361267089844,26.324081420898438,6914.7001953125,4503.9501953125,2185.7900390625,127.66999816894531,18.959999084472656,2181.75,43.5,3054.0,90.94140625
2016-08-12,46.709999084472656,11.550000190734863,189.90994262695312,1.2954877614974976,0.3185727894306183,95.72000122070312,101.80799865722656,1.5149999856948853,121.6953125,4804.25,16825.0,94.35701751708984,24.94615936279297,38.62799835205078,14.650360107421875,51.937843322753906,46.77543640136719,43.4116096496582,30.575254440307617,26.332050323486328,6916.0,4500.18994140625,2184.050048828125,127.4000015258789,18.719999313354492,2180.25,44.5,3060.10009765625,91.15995025634766
2016-08-15,46.54999923706055,11.8100004196167,190.45758056640625,1.290988802909851,0.3134304881095886,95.62999725341797,101.28299713134766,1.5529999732971191,121.546875,4822.75,16885.0,94.06727600097656,25.245941162109375,38.42449951171875,15.239124298095703,52.09920120239258,46.31253433227539,43.26785659790039,31.267160415649414,26.403736114501953,6941.2001953125,4497.85986328125,2190.14990234375,127.83999633789062,18.829999923706055,2186.0,45.75,3088.0,90.99810791015625
2016-08-16,47.310001373291016,12.640000343322754,189.47528076171875,1.2883111238479614,0.3139914572238922,94.79000091552734,101.23999786376953,1.5759999752044678,121.3984375,4798.5,16575.0,93.89954376220703,25.222875595092773,38.20199966430664,15.199871063232422,51.81055450439453,45.83420181274414,43.03622055053711,31.127132415771484,26.347976684570312,6893.89990234375,4460.43994140625,2178.14990234375,128.47000122070312,18.81999969482422,2176.75,46.57500076293945,3042.300048828125,90.94140625
2016-08-17,46.849998474121094,12.1899995803833,189.83168029785156,1.303373098373413,0.31238284707069397,94.72000122070312,100.19999694824219,1.5609999895095825,121.4375,4804.0,16680.0,94.15876770019531,25.185985565185547,38.23149871826172,15.229310989379883,51.918800354003906,44.97786331176758,42.80458450317383,30.91297721862793,26.26832389831543,6859.2001953125,4417.68017578125,2182.219970703125,128.5,18.68000030517578,2179.75,46.79999923706055,3041.300048828125,91.1113510131836
2016-08-18,47.130001068115234,11.430000305175781,190.2576141357422,1.3044612407684326,0.31203195452690125,94.16000366210938,99.90599822998047,1.5360000133514404,121.6328125,4808.5,16550.0,94.38748168945312,25.153703689575195,38.222999572753906,15.474628448486328,51.95487594604492,45.271018981933594,42.66878128051758,31.184791564941406,26.363903045654297,6869.0,4437.06005859375,2187.02001953125,129.11000061035156,18.770000457763672,2183.5,48.224998474121094,3047.89990234375,91.24089813232422
2016-08-19,47.22999954223633,11.34000015258789,189.97943115234375,1.3166556358337402,0.30884215235710144,94.51000213623047,100.11199951171875,1.5779999494552612,121.3828125,4807.0,16485.0,94.10542297363281,25.218273162841797,37.865501403808594,15.945636749267578,51.972923278808594,45.74163055419922,42.58890914916992,31.011823654174805,26.116992950439453,6859.0,4400.52001953125,2183.8701171875,127.97000122070312,18.350000381469727,2181.75,48.52000045776367,3035.699951171875,91.03853607177734
