Date,Signal_hat,VIXM_returns,spy_returns,VIXM_close,spy_close,VIXM_growth_1dollar,spy_growth_of_1dollar,Token_returns,VIXCOIN_token_growth_1dollar,Token_price
2011-02-02,0.0,-0.0021831105789201777,-0.0019117205216886424,274.239990234375,105.20488739013672,0.9978168894210798,0.9980882794783114,-0.0,1.0,0.0
2011-02-03,0.0,-0.005980105707624195,0.0022222842665915454,272.6000061035156,105.43868255615234,0.991849838945489,1.0003063153584655,-0.0,1.0,0.0
2011-02-04,0.0,-0.012325809955648803,0.0028290762000364733,269.239990234375,105.73697662353516,0.979624486326106,1.0031362581479923,-0.0,1.0,0.0
2011-02-07,0.0,-0.012628116252435873,0.0062521118708736,265.8399963378906,106.39805603027344,0.9672536744290472,1.009407978255663,-0.0,1.0,0.0
2011-02-08,0.0,-0.01354200328433619,0.00454652818202117,262.239990234375,106.88179779052734,0.9541551219931428,1.0139972800759596,-0.0,1.0,0.0
2011-02-09,0.0,-0.0054911626564631,-0.0022627255739099406,260.79998779296875,106.63995361328125,0.9489157010187811,1.0117028824984566,-0.0,1.0,0.0
2011-02-10,0.0,-0.006441690009260537,0.0003778211744693838,259.1199951171875,106.68024444580078,0.9428030802278979,1.0120851252697363,-0.0,1.0,0.0
2011-02-11,0.0,-0.01296696771251482,0.005970695554171401,255.75999450683594,107.31719970703125,0.9305777831273233,1.0181279774276273,-0.0,1.0,0.0
2011-02-14,0.0,-0.002033113171880263,0.002403762757459793,255.24000549316406,107.57516479492188,0.928685813178988,1.0205753155420956,-0.0,1.0,0.0
2011-02-15,0.0,0.008305829073707693,-0.003147639036681471,257.3599853515625,107.23655700683594,0.9363993188064299,1.0173629128390218,0.0,1.0,0.0
2011-02-16,0.0,-0.0021759309545684724,0.00631558277739086,256.79998779296875,107.913818359375,0.9343617785428021,1.0237881525297041,-0.0,1.0,0.0
2011-02-17,0.0,0.018380067932512345,0.0029882328654005086,261.5199890136719,108.23628997802734,0.9515354115059619,1.026847469934301,0.0,1.0,0.0
2011-02-18,0.0,0.016365857139406303,0.0020856084907978634,265.79998779296875,108.46202850341797,0.9671081041137547,1.0289890717363503,0.0,1.0,0.0
2011-02-21,1.0,0.0,0.0,265.79998779296875,108.46202850341797,0.9671081041137547,1.0289890717363503,0.0,1.0,0.0
2011-02-22,1.0,0.059292740742713734,-0.020069729645509904,281.55999755859375,106.28522491455078,1.024450594201149,1.0083375392584175,0.059292740742713734,1.0592927407427137,0.0
2011-02-23,1.0,0.026566312868260056,-0.00614449038429854,289.0400085449219,105.63215637207031,1.0516664692047717,1.002141818944317,0.026566312868260056,1.0874342431123614,0.0
2011-02-24,1.0,0.0011070329268652035,-0.0006868698366492287,289.3599853515625,105.55960083007812,1.0528306986142615,1.0014534779568394,0.0011070329268652035,1.0886380686252874,0.0
2011-02-25,0.0,-0.035941368616841496,0.010692756846894413,278.9599914550781,106.68832397460938,1.0149905223842395,1.0121617764901085,-0.0,1.0886380686252874,0.0
2011-02-28,0.0,-0.018784020629778464,0.006196575879092503,273.7200012207031,107.34942626953125,0.9959249194727443,1.0184337137400465,-0.0,1.0886380686252874,0.0
2011-03-01,0.0,0.040625438651161305,-0.01667289245644643,284.8399963378906,105.55960083007812,1.036384806189947,1.0014534779568394,0.0,1.0886380686252874,0.0
2011-03-02,0.0,-0.0029490111946715025,0.002138782651633697,284.0,105.78536987304688,1.0333284957945055,1.0035953692819117,-0.0,1.0886380686252874,0.0
2011-03-03,0.0,-0.026760584871533877,0.017223901049367107,276.3999938964844,107.60740661621094,1.005676020882622,1.0208811966160265,-0.0,1.0886380686252874,0.0
2011-03-04,1.0,0.02474673114664494,-0.0074922445736120835,283.239990234375,106.80118560791016,1.030563214992032,1.0132325050103774,0.02474673114664494,1.1155783022255603,0.0
