Date,VIXM,^VIX,SPY,GBPUSD=X,BRLUSD=X,DX-Y.NYB,USDJPY=X,^TNX,ZF=F,NQ=F,NKD=F,LQD,AAPL,AMZN,MU,MSFT,BMY,PLD,FXI,FEZ,^FTSE,^FCHI,^GSPC,GLD,SLV,ES=F,QM=F,BIO=F,AGG
2014-02-27,18150.0,0.0,93880800.0,0.0,0.0,0.0,0.0,0.0,1358985.0,264249.0,21395.0,964900.0,301882000.0,62098000.0,39242800.0,33903400.0,6487400.0,1900700.0,29809000.0,940500.0,860420000.0,142607100.0,3547460000.0,5066500.0,5613300.0,1615828.0,4820.0,0.0,628900.0
2014-02-28,21275.0,0.0,150842000.0,0.0,0.0,0.0,0.0,0.0,284739.0,325511.0,15757.0,1791900.0,371968800.0,77640000.0,33877300.0,41215000.0,7802600.0,3511300.0,23754500.0,1044900.0,924578400.0,120235300.0,3917450000.0,10584100.0,5648100.0,2106508.0,4262.0,0.0,1589500.0
2014-03-03,51550.0,0.0,167748500.0,0.0,0.0,0.0,0.0,0.0,116013.0,376912.0,24541.0,1292700.0,238781200.0,55966000.0,35961800.0,29717500.0,5198500.0,2779900.0,28626300.0,2085600.0,829082600.0,157761500.0,3428220000.0,11741100.0,6922800.0,2376689.0,8141.0,0.0,2533900.0
2014-03-04,33275.0,0.0,167545900.0,0.0,0.0,0.0,0.0,0.0,91806.0,263175.0,16621.0,1075900.0,259140000.0,54088000.0,32780000.0,26802400.0,11911600.0,3041200.0,18353100.0,1086400.0,734136300.0,125890900.0,3765770000.0,6341700.0,6841000.0,1750397.0,5703.0,0.0,953700.0
2014-03-05,16425.0,0.0,88376900.0,0.0,0.0,0.0,0.0,0.0,41154.0,205524.0,11058.0,2869300.0,200062800.0,76966000.0,25938700.0,20520100.0,8941300.0,2682300.0,22035500.0,1496900.0,630136500.0,106194600.0,3392990000.0,4878500.0,4295800.0,1254803.0,7459.0,0.0,2852300.0
2014-03-06,9500.0,0.0,82516500.0,0.0,0.0,0.0,0.0,0.0,32345.0,217906.0,27247.0,1271000.0,185488800.0,58532000.0,32312100.0,23582200.0,8018000.0,2472700.0,21977500.0,1009000.0,666186300.0,147376000.0,3360450000.0,5408900.0,5444300.0,1283006.0,6850.0,0.0,689200.0
2014-03-07,10575.0,0.0,114513500.0,0.0,0.0,0.0,0.0,0.0,24947.0,303234.0,26869.0,1473800.0,220729600.0,45596000.0,23827000.0,26591600.0,5138400.0,2214400.0,23786100.0,1467400.0,793752600.0,157180000.0,3564740000.0,7575000.0,11099000.0,1756169.0,5304.0,0.0,701700.0
2014-03-10,46850.0,0.0,74939200.0,0.0,0.0,0.0,0.0,0.0,9900.0,192161.0,34908.0,1851400.0,178584000.0,42116000.0,23662500.0,19006600.0,4327400.0,2178900.0,24492400.0,898000.0,820416900.0,129388400.0,3021350000.0,4169900.0,4167600.0,1167755.0,5244.0,0.0,877800.0
2014-03-11,20175.0,0.0,99009100.0,0.0,0.0,0.0,0.0,0.0,10474.0,259716.0,47550.0,943800.0,279224400.0,44922000.0,21103100.0,25216400.0,4736000.0,1385000.0,39123000.0,1007300.0,868947800.0,102575400.0,3392400000.0,7289800.0,6705500.0,1609666.0,7337.0,0.0,2060700.0
2014-03-12,9325.0,0.0,104824400.0,0.0,0.0,0.0,0.0,0.0,13961.0,319464.0,26821.0,1303800.0,199326400.0,44332000.0,19272800.0,30494100.0,7807300.0,1875300.0,26377800.0,1077400.0,891943200.0,123684500.0,3270860000.0,11094200.0,7763000.0,1666288.0,9437.0,0.0,943300.0
